		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Intercropping	Intercropping	Crop Rotation	Crop Rotation	Improved Seeds	Improved Seeds	Organic Fertilisers	Organic Fertilisers
									
training	Training (dummy)	0.055***	0.017	0.026*	0.057***	0.100***	0.132***	0.013	-0.031***
		(0.017)	(0.015)	(0.014)	(0.014)	(0.014)	(0.013)	(0.011)	(0.012)
age	Age of household head (years)	0.027***	0.023***	0.006	0.009	0.010*	0.011*	0.003	0.000
		(0.006)	(0.006)	(0.005)	(0.005)	(0.006)	(0.006)	(0.004)	(0.004)
sexe	Sex of household head (dummy, male=1)	-0.026	-0.028	0.039	-0.112***	0.056**	0.114***	-0.001	0.248***
		(0.029)	(0.030)	(0.024)	(0.030)	(0.022)	(0.029)	(0.021)	(0.027)
nbschool	Education level (Number of years)	-0.002	0.002	-0.000	-0.013***	0.003**	0.012***	-0.000	0.016***
		(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.002)	(0.001)	(0.002)
hhsize	Household size (number of persons)	0.008***	0.008***	0.003**	0.003**	-0.001	-0.001	-0.005***	-0.006***
		(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
dmurbain	Distance to the nearest urban market (km)	-0.000	-0.001**	0.002***	0.001***	-0.002***	-0.003***	0.001***	0.002***
		(0.001)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
dmvillage	Distance the nearest village market (km)	-0.006***	-0.008***	-0.007***	-0.003**	0.005***	0.001	-0.003***	-0.007***
		(0.002)	(0.002)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
association	Cooperative membership (dummy)	0.003	0.008	0.035**	0.056***	0.010	0.056***	0.029***	0.025**
		(0.017)	(0.017)	(0.014)	(0.015)	(0.013)	(0.014)	(0.011)	(0.012)
clabor_ha	Labor cost (USD/ha)	-0.000	0.000**	0.000	-0.000	0.001***	0.001***	0.001***	0.002***
		(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)	(0.000)
gsize	Groundnut area (ha)	0.022***	0.025***	0.042***	0.041***	0.020***	0.021***	0.048***	0.049***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.005)	(0.005)	(0.005)	(0.005)
off_farm	Off-farm income (dummy)	-0.021	-0.021	-0.003	-0.008	0.029	0.022	-0.073***	-0.068***
		(0.033)	(0.033)	(0.026)	(0.026)	(0.030)	(0.030)	(0.023)	(0.022)
dratio	Dependency ratio	0.021***	0.021***	0.001	0.001	-0.001	-0.001	0.019***	0.018***
		(0.007)	(0.007)	(0.006)	(0.006)	(0.007)	(0.007)	(0.005)	(0.005)
typsoil1	Clay soil (dummy)	0.014	0.009	0.034*	0.051***	-0.000	-0.004	0.012	-0.004
		(0.022)	(0.022)	(0.017)	(0.020)	(0.017)	(0.019)	(0.015)	(0.017)
typsoil2	Sandy-clay soil (dummy)	0.016	0.020	0.024*	0.033**	-0.004	-0.012	0.025**	0.023
		(0.017)	(0.018)	(0.014)	(0.016)	(0.014)	(0.015)	(0.012)	(0.014)
typsoil3	Silty soil (dummy)	0.009	0.013	0.035**	0.050**	-0.004	-0.012	0.010	0.001
		(0.021)	(0.022)	(0.017)	(0.020)	(0.017)	(0.019)	(0.015)	(0.017)
Constant	Constant	0.426***	0.327***	0.018	0.397***	0.487***	0.063	0.880***	0.095**
		(0.068)	(0.047)	(0.048)	(0.047)	(0.049)	(0.043)	(0.037)	(0.044)
									
Observations		8,604	8,604	8,604	8,604	8,604	8,604	8,604	8,604
Number of id		2,868	2,868	2,868	2,868	2,868	2,868	2,868	2,868
Additional controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
District FE		Yes	No	Yes	No	Yes	No	Yes	No
Year FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
Robust standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
